"Dates","Types","Locals","Closings","BuildPings","Prices","LocalPings","Floors","Olds","ParkingSpaces"
"1","10810","廠辦","內湖區行愛路141巷11~20號","7,800萬(含車位480萬)","219.57坪(含車位44.47坪)","41.8萬","45.91坪","4~4/6","8.0年","有"
"2","10808","廠辦","金矽谷NO.3內湖區陽光街345巷11~20號","6,820萬(含車位600萬)","201.99坪(含車位42.30坪)","39.0萬","33.63坪","4~4/7","19.0年","有"
"3","10808","電梯大樓","長虹凌雲內湖區文德路61~70號格局：4房(室)2廳2衛","6,350萬(含車位750萬)","125.36坪(含車位37.11坪)","63.5萬","11.66坪","7~7/17","9.0年","有"
"4","10808","電梯大樓","富邦大衛營領袖特區內湖區成功路五段450巷23弄11~20號格局：4房(室)2廳3衛","9,088萬(含車位900萬)","124.25坪(含車位30.89坪)","87.7萬","23.82坪","15~15/17","11.0年","有"
"5","10811","電梯大樓","香堤苑內湖區行善路281巷19弄1~10號格局：4房(室)2廳3衛","6,650萬(含車位500萬)","116.92坪(含車位21.30坪)","64.3萬","22.53坪","2~2/14","9.0年","有"
"6","10811","廠辦","內湖區文湖街60巷31~40號","3,470萬","113.66坪","30.5萬","50.24坪","4~4/5","29.0年","無"
"7","10811","廠辦","內湖區文湖街60巷31~40號","3,380萬","110.54坪","30.6萬","117.25坪","4~4/5","29.0年","無"
"8","10811","透天厝","綠大地內湖區成功路四段294巷25弄11~20號格局：5房(室)2廳4衛","5,380萬","110.39坪","48.7萬","68.99坪","-1~4/4","33.0年","無"
"9","10810","電梯大樓","米蘭苑內湖區新富街151~160號格局：4房(室)2廳4衛","6,300萬(含車位500萬)","105.38坪(含車位25.67坪)","72.8萬","15.49坪","7~7/14","7.0年","有"
"10","10810","電梯大樓","宏泰HOME內湖區行善路281~290號格局：3房(室)2廳3衛","6,000萬(含車位550萬)","100.47坪(含車位19.44坪)","67.3萬","15.59坪","8~8/14","5.0年","有"
"11","10810","廠辦","愛丁堡科技內湖區洲子街71~80號","4,650萬(含車位300萬)","98.37坪(含車位19.97坪)","55.5萬","20.85坪","8~8/8","20.0年","有"
"12","10809","電梯大樓","大成大賞內湖區星雲街150巷21~30號格局：3房(室)2廳2衛","4,488萬(含車位400萬)","98.08坪(含車位24.46坪)","55.5萬","11.80坪","23~24/24","21.0年","有"
"13","10810","電梯大樓","長虹虹觀內湖區內湖路一段701~710號格局：3房(室)2廳2衛","5,758萬(含車位750萬)","96.11坪(含車位28.38坪)","73.9萬","7.87坪","11~11/14","7.0年","有"
"14","10810","廠辦","世紀經貿內湖區內湖路一段391~400號","5,086萬(含車位180萬)","92.11坪(含車位11.50坪)","60.9萬","13.93坪","3~3/12","20.0年","有"
"15","10811","華廈","長虹靜崗內湖區民權東路六段296巷41~50號格局：4房(室)2廳3衛","5,500萬(含車位500萬)","90.24坪(含車位18.11坪)","69.3萬","12.07坪","2~2/10","12.0年","有"
"16","10810","電梯大樓","元大君品內湖區新富街51~60號格局：3房(室)2廳2衛","6,900萬(含車位235萬)","88.72坪(含車位10.12坪)","84.8萬","17.23坪","3~3/11","3.0年","有"
"17","10808","電梯大樓","濱湖內湖區成功路四段351~360號格局：4房(室)2廳2衛","4,500萬(含車位500萬)","88.68坪(含車位24.51坪)","62.3萬","14.47坪","16~16/19","22.0年","有"
"18","10808","電梯大樓","長虹虹觀內湖區內湖路一段701~710號格局：3房(室)2廳2衛","5,000萬(含車位500萬)","88.11坪(含車位20.51坪)","66.6萬","7.39坪","2~2/14","7.0年","有"
"19","10812","電梯大樓","山妍四季二期內湖區內湖路二段253巷51~60號格局：3房(室)2廳2衛","4,257萬(含車位500萬)","86.70坪(含車位23.97坪)","59.9萬","14.39坪","2~2/11","10.0年","有"
"20","10811","透天厝","城隱內湖區民權東路六段123巷21弄41~50號格局：3房(室)2廳3衛(加蓋格局：3房(室)0廳0衛)","4,505萬","85.90坪","52.4萬","34.22坪","-1~3/3","14.0年","無"
"21","10811","電梯大樓","艷冠東方內湖區民權東路六段181~190號格局：5房(室)2廳2衛","5,168萬(含車位500萬)","85.63坪(含車位19.80坪)","70.9萬","19.87坪","9~9/11","11.0年","有"
